"filename", "language", "TypeScript", "vue", "Less", "JavaScript", "comment", "blank", "total"
"d:\vscode\pj\re-project\src\App.vue", "vue", 0, 294, 0, 0, 0, 35, 329
"d:\vscode\pj\re-project\src\api\config.ts", "TypeScript", 28, 0, 0, 0, 63, 4, 95
"d:\vscode\pj\re-project\src\api\request.ts", "TypeScript", 25, 0, 0, 0, 0, 6, 31
"d:\vscode\pj\re-project\src\components\Advertisement.vue", "vue", 0, 56, 0, 0, 0, 12, 68
"d:\vscode\pj\re-project\src\components\Comment.vue", "vue", 0, 418, 0, 0, 6, 36, 460
"d:\vscode\pj\re-project\src\components\Empty.vue", "vue", 0, 17, 0, 0, 0, 2, 19
"d:\vscode\pj\re-project\src\components\Header\MiddleTopHeader.vue", "vue", 0, 173, 0, 0, 0, 13, 186
"d:\vscode\pj\re-project\src\components\Header\MiniMiddleHeader.vue", "vue", 0, 68, 0, 0, 0, 7, 75
"d:\vscode\pj\re-project\src\components\IconButton.vue", "vue", 0, 42, 0, 0, 0, 3, 45
"d:\vscode\pj\re-project\src\components\Loading.vue", "vue", 0, 13, 0, 0, 0, 1, 14
"d:\vscode\pj\re-project\src\components\Logo.vue", "vue", 0, 103, 0, 0, 0, 5, 108
"d:\vscode\pj\re-project\src\components\MessageItem.vue", "vue", 0, 193, 0, 0, 0, 17, 210
"d:\vscode\pj\re-project\src\components\Messager.vue", "vue", 0, 70, 0, 0, 0, 5, 75
"d:\vscode\pj\re-project\src\components\MessagerItem.vue", "vue", 0, 159, 0, 0, 0, 17, 176
"d:\vscode\pj\re-project\src\components\MobileDrawer.vue", "vue", 0, 141, 0, 0, 0, 7, 148
"d:\vscode\pj\re-project\src\components\NotificationContent.vue", "vue", 0, 157, 0, 0, 3, 15, 175
"d:\vscode\pj\re-project\src\components\Post.vue", "vue", 0, 463, 0, 0, 3, 42, 508
"d:\vscode\pj\re-project\src\components\Publish.vue", "vue", 0, 195, 0, 0, 0, 13, 208
"d:\vscode\pj\re-project\src\components\Setting\SettingDetailItem.vue", "vue", 0, 52, 0, 0, 0, 1, 53
"d:\vscode\pj\re-project\src\components\Setting\SettingItem.vue", "vue", 0, 40, 0, 0, 0, 3, 43
"d:\vscode\pj\re-project\src\components\Skeleton\HomeSkeleton.vue", "vue", 0, 142, 0, 0, 0, 11, 153
"d:\vscode\pj\re-project\src\components\TabBar.vue", "vue", 0, 101, 0, 0, 0, 3, 104
"d:\vscode\pj\re-project\src\components\TopBarSetting\Mark.vue", "vue", 0, 24, 0, 0, 0, 1, 25
"d:\vscode\pj\re-project\src\components\VirtualList\DynamicHeightVirtualList.vue", "vue", 0, 619, 0, 0, 0, 101, 720
"d:\vscode\pj\re-project\src\components\VirtualList\FixedHeightVirtualList.vue", "vue", 0, 385, 0, 0, 0, 50, 435
"d:\vscode\pj\re-project\src\components\VirtualList\ListItem.vue", "vue", 0, 78, 0, 0, 0, 10, 88
"d:\vscode\pj\re-project\src\components\VirtualList\VirtualList.vue", "vue", 0, 126, 0, 0, 0, 17, 143
"d:\vscode\pj\re-project\src\components\VirtualList\index.d.ts", "TypeScript", 4, 0, 0, 0, 3, 2, 9
"d:\vscode\pj\re-project\src\components\VirtualList\index.js", "JavaScript", 0, 0, 0, 2, 2, 3, 7
"d:\vscode\pj\re-project\src\constant\InputHeight.js", "JavaScript", 0, 0, 0, 6, 1, 2, 9
"d:\vscode\pj\re-project\src\constant\chat.js", "JavaScript", 0, 0, 0, 12, 15, 6, 33
"d:\vscode\pj\re-project\src\constant\publish.js", "JavaScript", 0, 0, 0, 16, 3, 5, 24
"d:\vscode\pj\re-project\src\constant\style.js", "JavaScript", 0, 0, 0, 13, 1, 2, 16
"d:\vscode\pj\re-project\src\constant\table.js", "JavaScript", 0, 0, 0, 5, 1, 2, 8
"d:\vscode\pj\re-project\src\hooks\usePubSub.ts", "TypeScript", 9, 0, 0, 0, 0, 8, 17
"d:\vscode\pj\re-project\src\hooks\useState.ts", "TypeScript", 9, 0, 0, 0, 0, 10, 19
"d:\vscode\pj\re-project\src\main.ts", "TypeScript", 18, 0, 0, 0, 12, 9, 39
"d:\vscode\pj\re-project\src\pages\Home\Home.vue", "vue", 0, 208, 0, 0, 0, 26, 234
"d:\vscode\pj\re-project\src\pages\Home\RightBar.vue", "vue", 0, 167, 0, 0, 0, 19, 186
"d:\vscode\pj\re-project\src\pages\Login.vue", "vue", 0, 423, 0, 0, 0, 62, 485
"d:\vscode\pj\re-project\src\pages\Mark.vue", "vue", 0, 134, 0, 0, 0, 17, 151
"d:\vscode\pj\re-project\src\pages\Message.vue", "vue", 0, 196, 0, 0, 0, 32, 228
"d:\vscode\pj\re-project\src\pages\MessageContent.vue", "vue", 0, 294, 0, 0, 0, 28, 322
"d:\vscode\pj\re-project\src\pages\MessageRow.vue", "vue", 0, 57, 0, 0, 0, 4, 61
"d:\vscode\pj\re-project\src\pages\Messager.vue", "vue", 0, 200, 0, 0, 0, 22, 222
"d:\vscode\pj\re-project\src\pages\More.vue", "vue", 0, 13, 0, 0, 0, 1, 14
"d:\vscode\pj\re-project\src\pages\Notification.vue", "vue", 0, 209, 0, 0, 0, 25, 234
"d:\vscode\pj\re-project\src\pages\PersonProfile.vue", "vue", 0, 193, 0, 0, 0, 18, 211
"d:\vscode\pj\re-project\src\pages\PostDetail.vue", "vue", 0, 309, 0, 0, 0, 25, 334
"d:\vscode\pj\re-project\src\pages\Profile\Profile.vue", "vue", 0, 189, 0, 0, 0, 18, 207
"d:\vscode\pj\re-project\src\pages\Profile\ProfileHeader.vue", "vue", 0, 158, 0, 0, 0, 16, 174
"d:\vscode\pj\re-project\src\pages\Register.vue", "vue", 0, 224, 0, 0, 0, 15, 239
"d:\vscode\pj\re-project\src\pages\Setting.vue", "vue", 0, 65, 0, 0, 0, 2, 67
"d:\vscode\pj\re-project\src\pages\SettingDetail.vue", "vue", 0, 76, 0, 0, 0, 2, 78
"d:\vscode\pj\re-project\src\registerServiceWorker.ts", "TypeScript", 3, 0, 0, 0, 29, 3, 35
"d:\vscode\pj\re-project\src\router\index.ts", "TypeScript", 118, 0, 0, 0, 1, 10, 129
"d:\vscode\pj\re-project\src\service\AddRequest.ts", "TypeScript", 12, 0, 0, 0, 0, 4, 16
"d:\vscode\pj\re-project\src\service\Notification.ts", "TypeScript", 26, 0, 0, 0, 0, 5, 31
"d:\vscode\pj\re-project\src\service\chat.ts", "TypeScript", 28, 0, 0, 0, 0, 7, 35
"d:\vscode\pj\re-project\src\service\comment.ts", "TypeScript", 22, 0, 0, 0, 0, 2, 24
"d:\vscode\pj\re-project\src\service\post.ts", "TypeScript", 43, 0, 0, 0, 0, 9, 52
"d:\vscode\pj\re-project\src\service\user.ts", "TypeScript", 67, 0, 0, 0, 0, 11, 78
"d:\vscode\pj\re-project\src\service\ws.ts", "TypeScript", 38, 0, 0, 0, 0, 7, 45
"d:\vscode\pj\re-project\src\shims-vue.d.ts", "TypeScript", 5, 0, 0, 0, 1, 1, 7
"d:\vscode\pj\re-project\src\store\Chat.ts", "TypeScript", 37, 0, 0, 0, 0, 8, 45
"d:\vscode\pj\re-project\src\store\Notification.ts", "TypeScript", 35, 0, 0, 0, 0, 9, 44
"d:\vscode\pj\re-project\src\store\user.ts", "TypeScript", 21, 0, 0, 0, 7, 9, 37
"d:\vscode\pj\re-project\src\types\Dynamic.ts", "TypeScript", 18, 0, 0, 0, 27, 6, 51
"d:\vscode\pj\re-project\src\types\Element.ts", "TypeScript", 2, 0, 0, 0, 0, 2, 4
"d:\vscode\pj\re-project\src\types\Fixed.ts", "TypeScript", 18, 0, 0, 0, 27, 8, 53
"d:\vscode\pj\re-project\src\types\Notification.ts", "TypeScript", 36, 0, 0, 0, 3, 11, 50
"d:\vscode\pj\re-project\src\types\chat.ts", "TypeScript", 23, 0, 0, 0, 3, 4, 30
"d:\vscode\pj\re-project\src\types\post.ts", "TypeScript", 35, 0, 0, 0, 6, 7, 48
"d:\vscode\pj\re-project\src\types\user.ts", "TypeScript", 11, 0, 0, 0, 3, 1, 15
"d:\vscode\pj\re-project\src\types\virtualList.ts", "TypeScript", 53, 0, 0, 0, 53, 14, 120
"d:\vscode\pj\re-project\src\utils\Date.ts", "TypeScript", 22, 0, 0, 0, 10, 6, 38
"d:\vscode\pj\re-project\src\utils\Equipment.ts", "TypeScript", 33, 0, 0, 0, 1, 9, 43
"d:\vscode\pj\re-project\src\utils\FakePost.ts", "TypeScript", 0, 0, 0, 0, 29, 3, 32
"d:\vscode\pj\re-project\src\utils\Notification.ts", "TypeScript", 36, 0, 0, 0, 0, 10, 46
"d:\vscode\pj\re-project\src\utils\Num.ts", "TypeScript", 6, 0, 0, 0, 0, 2, 8
"d:\vscode\pj\re-project\src\utils\Style.ts", "TypeScript", 21, 0, 0, 0, 6, 6, 33
"d:\vscode\pj\re-project\src\utils\TimeSlice.ts", "TypeScript", 47, 0, 0, 0, 2, 18, 67
"d:\vscode\pj\re-project\src\utils\chat.ts", "TypeScript", 48, 0, 0, 0, 1, 15, 64
"d:\vscode\pj\re-project\src\utils\localStorage.ts", "TypeScript", 164, 0, 0, 0, 9, 27, 200
"d:\vscode\pj\re-project\src\utils\requestTransform.ts", "TypeScript", 20, 0, 0, 0, 0, 2, 22
"d:\vscode\pj\re-project\src\utils\uuid.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 12
"d:\vscode\pj\re-project\src\var.less", "Less", 0, 0, 8, 0, 0, 10, 18
"d:\vscode\pj\re-project\src\views\BottomBar.vue", "vue", 0, 137, 0, 0, 1, 6, 144
"d:\vscode\pj\re-project\src\views\LeftBar.vue", "vue", 0, 314, 0, 0, 0, 20, 334
"d:\vscode\pj\re-project\src\views\MainContent.vue", "vue", 0, 18, 0, 0, 0, 1, 19
"d:\vscode\pj\re-project\src\views\MidBar.vue", "vue", 0, 47, 0, 0, 0, 9, 56
"d:\vscode\pj\re-project\src\vuex.d.ts", "TypeScript", 6, 0, 0, 0, 16, 3, 25
"d:\vscode\pj\re-project\src\websocket\index.ts", "TypeScript", 42, 0, 0, 0, 1, 10, 53
"Total", "-", 1201, 7760, 8, 54, 349, 1113, 10485